日期,股票代码,名称,收盘价,涨跌幅
2017-08-18,'000001,上证指数,3268.7243,0.009
2017-08-17,'000001,上证指数,3268.4298,0.677
2017-08-16,'000001,上证指数,3246.4512,-0.148
2017-08-15,'000001,上证指数,3251.2617,0.4294
2017-08-14,'000001,上证指数,3237.3602,0.8982
2017-08-11,'000001,上证指数,3208.5413,-1.6313
2017-08-10,'000001,上证指数,3261.7494,-0.422
2017-08-09,'000001,上证指数,3275.573,-0.192
2017-08-08,'000001,上证指数,3281.8728,0.0737
2017-08-07,'000001,上证指数,3279.4566,0.5327
2017-08-04,'000001,上证指数,3262.0809,-0.3314
2017-08-03,'000001,上证指数,3272.9286,-0.3692
2017-08-02,'000001,上证指数,3285.0568,-0.2303
2017-08-01,'000001,上证指数,3292.6383,0.5991
2017-07-31,'000001,上证指数,3273.0283,0.6083
2017-07-28,'000001,上证指数,3253.2404,0.1064
2017-07-27,'000001,上证指数,3249.7814,0.0649
2017-07-26,'000001,上证指数,3247.6748,0.1229
2017-07-25,'000001,上证指数,3243.6894,-0.2126
2017-07-24,'000001,上证指数,3250.5989,0.3897
2017-07-21,'000001,上证指数,3237.9817,-0.2121
2017-07-20,'000001,上证指数,3244.8647,0.4299
2017-07-19,'000001,上证指数,3230.9762,1.3618
2017-07-18,'000001,上证指数,3187.5672,0.3495
2017-07-17,'000001,上证指数,3176.4648,-1.426
2017-07-14,'000001,上证指数,3222.4168,0.1322
2017-07-13,'000001,上证指数,3218.1632,0.6448
2017-07-12,'000001,上证指数,3197.5439,-0.1715
2017-07-11,'000001,上证指数,3203.0375,-0.2986
2017-07-10,'000001,上证指数,3212.6319,-0.1655
2017-07-07,'000001,上证指数,3217.9567,0.1716
2017-07-06,'000001,上证指数,3212.444,0.1656
2017-07-05,'000001,上证指数,3207.1342,0.7644
2017-07-04,'000001,上证指数,3182.8039,-0.4101
2017-07-03,'000001,上证指数,3195.9116,0.1092
2017-06-30,'000001,上证指数,3192.4269,0.1369
2017-06-29,'000001,上证指数,3188.0625,0.4683
2017-06-28,'000001,上证指数,3173.2014,-0.5639
2017-06-27,'000001,上证指数,3191.1969,0.1806
2017-06-26,'000001,上证指数,3185.4439,0.8731
2017-06-23,'000001,上证指数,3157.873,0.3311
2017-06-22,'000001,上证指数,3147.4532,-0.2775
2017-06-21,'000001,上证指数,3156.2118,0.5159
2017-06-20,'000001,上证指数,3140.0136,-0.1387
2017-06-19,'000001,上证指数,3144.3739,0.679
2017-06-16,'000001,上证指数,3123.1662,-0.2975
2017-06-15,'000001,上证指数,3132.4863,0.0579
2017-06-14,'000001,上证指数,3130.674,-0.7315
2017-06-13,'000001,上证指数,3153.7429,0.4416
2017-06-12,'000001,上证指数,3139.8766,-0.5865
2017-06-09,'000001,上证指数,3158.4004,0.2561
2017-06-08,'000001,上证指数,3150.3336,0.3187
2017-06-07,'000001,上证指数,3140.3249,1.2314
2017-06-06,'000001,上证指数,3102.126,0.3387
2017-06-05,'000001,上证指数,3091.6561,-0.4471
2017-06-02,'000001,上证指数,3105.54,0.094
2017-06-01,'000001,上证指数,3102.6232,-0.4669
2017-05-31,'000001,上证指数,3117.1778,0.2289
2017-05-26,'000001,上证指数,3110.0587,0.0717
2017-05-25,'000001,上证指数,3107.8311,1.428
2017-05-24,'000001,上证指数,3064.0759,0.0695
2017-05-23,'000001,上证指数,3061.947,-0.4464
2017-05-22,'000001,上证指数,3075.6756,-0.4839
2017-05-19,'000001,上证指数,3090.6309,0.0159
2017-05-18,'000001,上证指数,3090.139,-0.4607
2017-05-17,'000001,上证指数,3104.4415,-0.2738
2017-05-16,'000001,上证指数,3112.9642,0.7357
2017-05-15,'000001,上证指数,3090.2289,0.2178
2017-05-12,'000001,上证指数,3083.5132,0.719
2017-05-11,'000001,上证指数,3061.5003,0.2855
2017-05-10,'000001,上证指数,3052.785,-0.9006
